형을 선고함에 있어서 일정한 기간 형의 집행을 유에하고 그 유에기간을 경과한 때에는 형의 선고는 효력을 잃게 되는 제도를 무엇이라 합니까?,4,2, 선고유예, 집행유예, 기소유예, 기소중지
주위 사람들의 이목을 끌기 위해 꾀병 등 거짓말을 일삼는 일종의 정신질환을 의미하는 용어는?,4,4, 리플리 증후군, 오셀로 증후군, 파랑새 증후군, 뮌하우젠 증후군
인구분포와 소득분포와의 관계를 나타내는 수치로서 소득분배의 불평등도를 나타내는 이용되는 이 수치의 명칭은 무엇인가?,4,3, 코노계수, 로렌츠계수, 지니계수, 파레토계수
식품의 원재료에서부터 위해요인들을 미리 과학적으로 분석 차단하여 최종소비자에게 전달되기까지 안전하고 깨끗한 식품을 공급하기 위한 관리체계를 뜻하는 용어는 무엇입니까?, 4,3,GMP,LOHAS,HACCP,SLOBBIE
비엔날레는 몇년 주기로 열리는 행사입니까?,4,2,1년,2년,3년,4년
IT는 무엇의 약자입니까?,4,1,information technology,internet technology,internet tribe,incredible transcendence
국제연합식량농업기구(FAO)가 미래식량 자원으로 지목한 대상은?,4,4,해조류,바나나,플랑크톤,곤충
다음중 이순신 장군이 전사한 전투는?,4,3, 명량대첩,옥포해전,노량해전,부산포해전
개인의 업무성과에 따라 급여가 결정되는 임금체계를 일컫는 용어는?,4,2,임금피크제,성과연봉제,통상임금,워크셰어링
미국의 기업가이며 아마존닷컴의 CEO는?,4,2,엘런머스크,제프베조스,팀쿡,마크 주커버그
